"","Zip Code","Total","Information","Professional","Percent"
"372",91426,21,NA,0,NA
"373",91436,20235,3231,4261,0.370249567580924
"374",91501,2244,53,79,0.0588235294117647
"375",91502,27987,5294,2281,0.270661378497159
"376",91503,71,NA,8,NA
"377",91504,74586,60677,1255,0.830343496098463
"378",91505,28494,7689,2825,0.368989962799186
"379",91506,12755,494,1187,0.131791454331635
"380",91507,0,NA,0,NA
"381",91510,245,0,0,0
"382",91521,8511,5965,973,0.815180354834919
"383",91522,1805,0,0,0
"384",91523,68,0,NA,NA
"385",91601,10598,912,859,0.167107001321004
"386",91602,4976,377,420,0.160168810289389
"387",91603,34,NA,NA,NA
"388",91604,12015,772,1223,0.166042446941323
"389",91605,17572,99,391,0.027885272023674
"390",91606,9654,133,356,0.0506525792417651
"391",91607,5838,293,393,0.117505995203837
"392",91608,13742,11772,86,0.862902052103042
"393",91609,0,NA,NA,NA
"394",91610,76,0,NA,NA
"395",91614,15,0,0,0
"396",91615,124,NA,NA,NA
"397",91617,0,NA,0,NA
"398",91702,15866,0,418,0.0263456447749905
"399",91706,33127,0,486,0.0146708123283123
"400",91709,16010,94,604,0.0435977514053716
"401",91710,46241,72,1401,0.0318548474297701
"402",91711,15352,50,716,0.0498957790515894
"403",91714,0,NA,NA,NA
"404",91715,1509,NA,NA,NA
"405",91716,214,NA,NA,NA
"406",91722,8120,23,190,0.0262315270935961
"407",91723,7323,61,338,0.054485866448177
"408",91724,7075,31,551,0.0822614840989399
"409",91731,17699,173,547,0.0406802644217187
"410",91732,7086,38,63,0.0142534575218741
"411",91733,17788,17,273,0.0163031257027209
"412",91734,736,NA,0,NA
"413",91740,11059,81,320,0.0362600596798987
"414",91741,5434,10,218,0.041958041958042
"415",91744,13023,0,285,0.0218843584427551
"416",91745,16187,187,432,0.0382405634150862
"417",91746,19972,0,449,0.0224814740636892
"418",91747,400,NA,NA,NA
"419",91748,28818,194,1337,0.0531265181483795
"420",91749,561,NA,NA,NA
"421",91750,11077,33,455,0.0440552496163221
"422",91754,18209,192,1532,0.0946784557087155
"423",91755,6253,0,138,0.0220694066847913
"424",91759,57,NA,0,NA
"425",91765,15843,161,1343,0.0949315154958026
"426",91766,18740,429,221,0.0346851654215582
"427",91767,13964,15,138,0.0109567459180751
"428",91768,17593,9,973,0.0558176547490479
"429",91769,1147,NA,NA,NA
"430",91770,17420,96,511,0.0348450057405281
"431",91773,20356,1284,1855,0.154205148359206
"432",91775,2342,6,109,0.0491033304867634
"433",91776,10997,52,727,0.0708375011366736
"434",91778,899,NA,NA,NA
"435",91780,5998,26,209,0.0391797265755252
"436",91788,268,0,4,0.0149253731343284
"437",91789,24244,196,1132,0.0547764395314305
"438",91790,14650,85,315,0.0273037542662116
"439",91791,10688,23,333,0.0333083832335329
"440",91792,4210,0,123,0.0292161520190024
"441",91793,17,NA,NA,NA
"442",91801,15019,114,764,0.058459284905786
"443",91802,406,NA,6,NA
"444",91803,8552,25,306,0.0387043966323667
"445",92397,528,NA,18,NA
"446",92821,44101,280,3521,0.0861885218022267
"447",92823,3975,0,277,0.069685534591195
"448",93243,2513,NA,19,NA
"449",93510,1296,6,23,0.0223765432098765
"450",93523,533,NA,128,NA
"451",93532,2071,NA,12,NA
"452",93534,27933,97,1017,0.0398811441663982
"453",93535,11503,47,114,0.0139963487785795
"454",93536,11409,0,95,0.00832675957577351
"455",93539,43,0,NA,NA
"456",93543,1085,NA,4,NA
"457",93544,134,NA,NA,NA
"458",93550,19287,103,412,0.0267019235754653
"459",93551,15733,232,364,0.0378821585203076
"460",93552,3848,0,10,0.0025987525987526
"461",93553,489,NA,0,NA
"462",93560,1634,0,45,0.0275397796817625
"463",93563,32,NA,NA,NA
"464",93584,62,NA,NA,NA
"465",93586,0,NA,NA,NA
"466",93590,124,NA,NA,NA
"467",93591,585,NA,NA,NA
